"Accession","Mean","Median","Number of peptides","P-Value"
"Q96CS3","0.11365210302752822","0.114468250336397","5","0.63468324038225465"
"P62805","0.063333621332173157","0.059280670843051497","7","0.14736229576094761"
"O60610","0.045374016673646399","0.045374016673646399","2","0.34534707633750716"
"Q14103","0.1241469471805885","0.1241469471805885","2","0.84018723879724588"
"P62753","0.16589676267578926","0.17152966735299999","3","0.81446546650652718"
"Q15382","0.073293177738040297","0.073293177738040297","2","0.49607987382301599"
"Q9BXW6","0.010852109972307511","0.010852109972307511","2","0.2045135746827268"
"Q8N1F7","0.21262498539418251","0.21262498539418251","2","0.52754060142286274"
"Q15070","0.103783441773367","0.103783441773367","2","0.69397312050118387"
"O14980","0.097205754136741859","0.081876613267069201","5","0.47147114303741022"
"P36542","0.079629403095096835","0.103995743132652","5","0.32616944957703897"
"O15321","0.074169733778820093","0.074169733778820093","2","0.50132112324662748"
"Q9BUP3","0.14450178829169882","0.16286346370002602","4","0.9888048242215236"
"Q9Y2T6","0.073699502214826004","0.073699502214826004","2","0.49850563136218395"
"Q8NB49","0.1197141784874136","0.13297095925718","13","0.534893241371873"
"Q9Y320","-0.02262166511525","-0.02262166511525","2","0.11316669949543197"
"P11142","0.1125642838247604","0.1155337275440815","12","0.44654929131779875"
"Q9UHG3","0.27454119167716601","0.304604519394998","3","0.13674520251765954"
"Q8NG11","0.26069110704474352","0.26069110704474352","2","0.27813527170918745"
"Q9BVC6","0.1104189570920459","0.098267934688422404","4","0.63974651765091683"
"P31949","0.11835755483858607","0.13023714717961948","4","0.71712504115011466"
"Q16706","0.32577914570362454","0.33552392556410449","14","7.0987841169730394e-06"
"Q9NQX7","0.83042177293374952","0.83042177293374952","2","1.1226683945622902e-10"
"P12268","0.077237591282105111","0.065808681907299396","3","0.43061585274956149"
"Q16134","0.051304287444783651","0.051304287444783651","2","0.37465188620467416"
"P31948","0.20249820127485851","0.20249820127485851","2","0.59169954063223007"
"Q9UQ13","0.1860326849036395","0.1860326849036395","2","0.70299656367976548"
"Q9H8H3","0.037020874642956093","0.040205057384757499","4","0.1482365566163199"
"Q13724","0.349578028750749","0.32000518731734701","3","0.018592083540052883"
"O75387","0.0049051561887413359","-0.021727928965677702","3","0.10468030477805754"
"O75381","0.037864290914173725","0.037864290914173725","2","0.31039726187801187"
"Q9H9H4","0.14736678511478743","0.175985770849932","3","0.98332522389322241"
"Q9BQ95","0.227794144692616","0.227794144692616","2","0.43855080295483428"
"Q8TF71","0.078815504267247358","0.10475403255848099","3","0.44133976839880096"
"P13796","0.16640339584498751","0.16640339584498751","2","0.84431232333793482"
"Q92572","0.26076597925630052","0.26076597925630052","2","0.27782294097630283"
"Q96L92","0.13830322411425175","0.1695611330837235","4","0.9230440855513975"
"P53701","0.131872357865778","0.131872357865778","2","0.89744857228594477"
"P46092","0.14130253083843866","0.18279264147122601","3","0.96087211825698504"
"Q92616","0.12494732686181402","0.12619182455536401","11","0.64894269249141001"
"Q53H12","0.035044643862263018","0.057962644935891101","9","0.027237450754974385"
"Q14204","0.12720422472716147","0.127666761944565","15","0.63594613053139892"
"A0FGR8","0.13627759107672879","0.122294756958226","6","0.87968936167501355"
"O60763","0.086920262358740549","0.079543002153624198","4","0.43475295347390996"
"P62899","0.084374935828646358","0.084374935828646358","2","0.56442150105941391"
"Q15437","0.1560839357459515","0.1560839357459515","2","0.92099832276410376"
"P16278","-0.011575583536752147","-0.011575583536752147","2","0.13885398297087456"
"Q9BUJ2","0.03511419823439673","-0.00012146231708248901","3","0.20263318961249521"
"P00338","0.17582415902363915","0.159544446826799","6","0.62142201737409497"
"P37268","0.3428220541867395","0.33811677844660448","4","0.0085959110200279683"
"O75947","0.10639295848449286","0.094858013332199398","8","0.46066082420409715"
"P06213","0.16292669897745618","0.16505094946711699","17","0.63332573008046888"
"Q92841","0.10169755862598562","0.086079679641610604","7","0.4396032965488379"
"P17844","0.10386088133492678","0.110056119203516","6","0.49635145602017172"
"P50570","0.066632058060464752","0.066632058060464752","2","0.45723035173475379"
"P20036","0.51115264161345897","0.49956331184753699","4","1.119013509815528e-06"
"P07814","0.059547448746278799","0.062211610995482496","6","0.16055611999841343"
"Q86VP6","0.15420091745521966","0.17033366180381601","3","0.92054893790822467"
"Q9NPF0","-0.046104562967500949","-0.046104562967500949","2","0.071026653091669653"
"P25774","0.052610982986988998","0.052610982986988998","2","0.38131121826566239"
"Q9NVI1","0.24346573627990797","0.24346573627990797","2","0.35639017104980619"
"O60486","0.25095277845759223","0.227301940106793","9","0.035213096688146976"
"O43169","0.12400295958438232","0.12503140675763902","4","0.77403544673504543"
"O60488","0.15231471940195904","0.13372543698536851","4","0.92825101547360311"
"O94905","0.36338320058546819","0.37301830279816051","6","0.00038002590120926762"
"P30086","0.11204453665636563","0.128866981535146","4","0.65530917814291834"
"P31146","0.10897893336244972","0.112379863513179","12","0.39873230761338541"
"P22102","0.03734570432468555","0.03734570432468555","2","0.30807433845459009"
"Q96IX5","0.099022776104021701","0.099022776104021701","2","0.66116128265660978"
"P06744","0.26794303723560975","0.24967847194555601","4","0.10303618959455771"
"Q92520","0.064533463224244927","0.052310238830697901","3","0.34994239689618645"
"O75643","0.10904842189238111","0.114680156032009","9","0.46572892212382055"
"O15020","0.235634491950236","0.23272906748713151","4","0.23016308454139187"
"Q5VW38","0.57282518723257758","0.57282518723257758","2","5.7156669096899149e-05"
"P13473","0.43527796468834651","0.43527796468834651","2","0.0063540797434284754"
"O00203","0.30557096556492519","0.30385514854079299","5","0.01716752893793945"
"Q8NCG7","0.11637873966541493","0.060707473205564702","5","0.66390727777949299"
"Q53GQ0","0.089647533168467908","0.085928709488729604","9","0.26394121074858845"
"P01903","0.34349937964383837","0.332281491959172","13","2.0052853375047437e-06"
"P23458","0.24908932608569939","0.26078361618463303","9","0.038572011593349616"
"Q9Y2G3","0.17216044055761676","0.16467754499271647","4","0.72302798840160387"
"Q9BRR3","0.297931030283487","0.297931030283487","2","0.15120449471841726"
"Q16850","-0.0063258453451830662","-0.011509702193448299","6","0.013217652645315296"
"P32322","0.041351382271803398","0.041351382271803398","2","0.32632477052517661"
"Q9H3Z4","0.15887590936123561","0.15887590936123561","2","0.90014752930244069"
"Q96CW1","0.25039192910362351","0.25039192910362351","2","0.32339411707775767"
"Q15223","0.329354529523331","0.32320909500370898","3","0.033977078371571504"
"P53634","0.10095056734568406","0.10907906671207651","4","0.55239028391798795"
"Q9H4A6","0.12243169009982444","0.12243169009982444","2","0.82757650732844312"
"Q9UN86","0.26260270603962149","0.26260270603962149","2","0.27023372744850516"
"Q9H444","0.20566177645756079","0.17920639262872601","5","0.37068437229548223"
"P49720","0.16957640823931755","0.16957640823931755","2","0.8209940133134862"
"Q02978","0.087894825518563757","0.082190151932063554","8","0.27736691114133977"
"O43760","0.15172816671522749","0.157394864008261","4","0.93446190048711608"
"Q02878","0.12624972474405413","0.12780608203525601","6","0.75278538721759258"
"O00299","0.159502060823832","0.14874951511284301","5","0.83544796071163663"
"P07195","0.15986839526801566","0.16032254106767899","3","0.86884562653859732"
"Q01844","0.1235155110954935","0.1235155110954935","2","0.83553928350149986"
"P41440","0.061835366352410777","0.060634721960907002","4","0.2647525949475194"
"O43427","0.018040630911983754","-0.0029235774079106902","3","0.14127728027965805"
"Q07955","0.12917418172624978","0.1068988327293645","4","0.82726308103852153"
"P52333","0.50782520232523298","0.50782520232523298","2","0.00064448876353790047"
"Q12893","0.1171381452428925","0.1171381452428925","2","0.78895009739475019"
"P16150","-0.004064220879192686","-0.004064220879192686","2","0.15873881108582208"
"Q9BTT6","0.21083296704988949","0.21083296704988949","2","0.53863075813809624"
"P51648","0.15021537468783494","0.17719219825906701","7","0.93454858393391338"
"Q14739","0.072434484489591541","0.074272780697495003","5","0.27614614662319298"
"Q86X29","0.26459549102797048","0.2594266673673925","6","0.0521260806512912"
"O75165","0.21727698236035428","0.17943105464797399","12","0.097997203959817036"
"Q9UBH6","0.1364314289989686","0.18241942141908099","5","0.89191784839485022"
"Q969P0","0.057000213627910121","0.052415109471008497","5","0.18720816583661759"
"O95202","0.10098447389807071","0.093137846198352692","10","0.3478514510837819"
"P54762","0.048581045875582471","0.048581045875582471","2","0.36101018856510869"
"P31689","0.17095653646020451","0.17095653646020451","2","0.81089741163289775"
"Q8IXU6","0.31908125312266578","0.27294543869003701","5","0.0097719577693050341"
"Q15046","0.1026381406222163","0.1026381406222163","2","0.68602491997602932"
"P54764","0.45296326542214149","0.45296326542214149","2","0.0037857781737817907"
"P05107","0.35855942693938597","0.34577684099247102","15","3.9396913326864767e-08"
"Q86Y82","0.19655726691516881","0.188385846141438","5","0.4474936954802482"
